Company Name,Job Description,Scope,Wanted,Department
BridgeWorks,Köprü Tasarımı ve İnşaatı Stajı (2024),Saha Mühendisliği,Köprü tasarımı ve mühendislik prensipleri konusunda deneyim. Köprü inşaatı süreçlerine aşina olmak. AutoCad ve Office programlarını biliyor olmak. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
RailTech,Demiryolu ve Raylı Sistemler Mühendisliği Stajı (2024),Saha Mühendisliği,Demiryolu altyapısı ve raylı sistemler konularında bilgi sahibi olmak. Sap2000 programını biliyor olmak. Demiryolu mühendislik yazılımlarını kullanabilme becerisi. En az 2.75 not ortalamasına sahip olmak.,İnşaat Mühendisliği
WaterWorks,Su ve Atık Su İnşaatı Stajı (2024),Proje Ofisi,Su ve atık su tesislerinin tasarımı ve inşaatı konularına hakim olmak. Su ve atık su mühendislik yazılımlarını kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
RoadConstruct,Karayolu Tasarımı ve İnşaatı Stajı (2024),Saha Mühendisliği,Karayolu mühendislik prensipleri ve tasarım standartları hakkında bilgi sahibi olmak. Karayolu inşaatı süreçlerine aşina olmak. AutoCad programını biliyor olmak. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
EnergyBuild,Enerji Verimliliği ve Yeşil Bina Tasarımı Stajı (2024),Saha Mühendisliği,Enerji verimliliği ve yeşil bina konseptlerine hakim olmak. LEED veya BREEAM gibi sertifikasyon sistemleri hakkında bilgi sahibi olmak. Sta4Cad ve AutoCad programlarını biliyor olmak. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
IndustrialBuild,Endüstriyel İnşaat Yönetimi Stajı (2024),Saha Mühendisliği,AutoCad ve Office programlarını biliyor olmak. En az 2.50 not ortalamasına sahip olmak.,İnşaat Mühendisliği
SafetyConstruct,İnşaat Güvenliği ve Risk Yönetimi Stajı (2024),Saha Mühendisliği,İnşaat güvenliği standartları ve risk değerlendirmesi konularında bilgi sahibi olmak. İş güvenliği eğitimlerine katılmış olmak tercih sebebidir. En az 2.50 not ortalamasına sahip olmak.,İnşaat Mühendisliği
GreenBuild,Sürdürülebilir İnşaat Teknikleri Stajı (2024),Saha Mühendisliği,"Sürdürülebilir inşaat teknikleri ve malzemeleri konusunda bilgi sahibi olmak. Sap2000, AutoCad ve Office programlarını biliyor olmak. En az 3.00 not ortalamasına sahip olmak.",İnşaat Mühendisliği
FacadeWorks,Cephe Tasarımı ve Uygulaması Stajı (2024),Proje Ofisi,Sta4Cad ve AutoCad kullanabiliyor olmak. En az 2.75 not ortalamasına sahip olmak.,İnşaat Mühendisliği
UrbanRenewal,Kentsel Yenileme ve Rehabilitasyon Stajı (2024),Proje Ofisi,IdeCad ve AutoCad programlarını biliyor olmak. Revit sistemine hakim olmak. Eski binaların restorasyonu ve yenilenmesi konularına hakim olmak. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
ProjectManage,İnşaat Proje Yönetimi Stajı (2024),Saha Mühendisliği,İnşaat proje yönetimi süreçlerine hakim olmak. Proje planlama ve bütçeleme konularında deneyim. Excel ve AutoCad programlarını iyi derecede bilmek. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
FireSafety,İnşaat Yangın Güvenliği Stajı (2024),Saha Mühendisliği,İnşaat yangın güvenliği ve güvenlik sistemleri konusunda bilgi sahibi olmak. Yangın güvenliği yönetmeliği ve standartlarına hakim olmak. En az 2.50 not ortalamasına sahip olmak.,İnşaat Mühendisliği
TransportConstruct,Ulaştırma Altyapısı İnşaatı Stajı (2024),Saha Mühendisliği,AutoCad ve Office programlarını biliyor olmak. Ulaştırma mühendislik standartlarına hakim olmak. En az 3.00 not ortalamasına sahip olmak.,İnşaat Mühendisliği
EarthquakeBuild,Deprem Mühendisliği ve Yapısal Güçlendirme Stajı (2024),Proje Ofisi,Deprem mühendisliği prensipleri ve yapısal güçlendirme tekniklerine hakim olmak. Sap2000 ve AutoCad programlarını kullanabiliyor olmak. En az 2.75 not ortalamasına sahip olmak.,İnşaat Mühendisliği
EnergyEfficient,EnergyEfficient Yaz Stajı (2024),Proje Ofisi,"Tekna, IdeCad ve AutoCad programlarını kullanabiliyor olmak. En az 3.00 not ortalamasına sahip olmak.",İnşaat Mühendisliği
IndustrialOptimize,Endüstriyel Süreç Optimizasyonu Stajı (2024),Lojistik,Endüstriyel süreçlerde veri analitiği yapabiliyor olmak. Proje taki ve proje yönetim becerisine sahip olmak. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
SupplyChain,Lojistik ve Tedarik Zinciri Yönetimi Stajı (2024),Lojistik,Lojistik ve tedarik zinciri yönetimi konularında bilgi sahibi olmak ve karar analizi yapabilmek. Tedarik zinciri optimizasyonu yapabilmek. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
QualityAssurance,Kalite Güvence ve Kontrol Stajı (2024),Üretim,Yalın yönetim ve tedarik zinciri yönetimi sistemleri hakkında bilgi sahibi olmak. İstatistiksel kalite kontrol yöntemlerini kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
ProductionPlanning,Üretim Planlama ve Kontrol Stajı (2024),Operasyon Yönetimi,Üretim planlama ve yöneylem  araştırmasına hakim olmak. Üretim planlama yazılımlarını kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
OperationsManagement,Operasyon Yönetimi ve Verimlilik Stajı (2024),Üretim,Operasyon yönetimi prensipleri veergonomi konusunda bilgi sahibi olmak. Tesis yerleşim tasarımı yapabilmek. Simülasyon modellemeye hakim olmak. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
HealthSafety,İş Sağlığı ve Güvenliği Stajı (2024),Kalite Yönetimi,İş sağlığı ve güvenliği yönetimi konularında deneyim. İş sağlığı ve güvenliği mevzuatına hakim olmak. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
LeanManufacture,İnce Üretim ve Kaizen Stajı (2024),Kalite Yönetimi,İnce üretim prensipleri ve ergonomi bilgi sahibi olmak. Proses iyileştirme konusunda biigi sahibi. En az 2.80 not ortalamasına sahip olmak.,Endüstri Mühendisliği
DataAnalytics,Endüstriyel Veri Analitiği Stajı (2024),Üretim,Üretim planlama becerisi. Verimlilik analizi ve iş zekası konularında deneyim. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
ProductDesign,Ürün Tasarım ve Geliştirme Stajı (2024),Üretim,Ürün tasarımı ve geliştirme süreçlerine hakim olmak. CAD yazılımlarını kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
RiskManagement,Risk Yönetimi ve Karar Analitiği Stajı (2024),Lojistik,Veri analitiği yapabilmek. Proje yönetimi yazılımlarını kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
IndustrialAutomation,Endüstriyel Otomasyon ve Robotik Stajı (2024),Üretim Yönetimi,Operasyon araştırması yapabilme. En az 2.80 not ortalamasına sahip olmak.,Endüstri Mühendisliği
ProjectManagement,Proje Yönetimi ve Takım Liderliği Stajı (2024),Operasyon Yönetimi,Proje yönetimi süreçlerine hakim olmak. Takım liderliği ve iletişim becerilerine sahip olmak. En az 2.80 not ortalamasına sahip olmak.,Endüstri Mühendisliği
LogisticsOptimize,Lojistik Optimizasyon ve Stok Yönetimi Stajı (2024),Lojistik,Tedarik zinciri optimizasyonu konusunda deneyim. Süreç yönetimi tekniklerini kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
Ergonomics,İş Güvenliği ve Ergonomi Stajı (2024),Üretim,İmalat  sistemleri konusunda bilgi sahibi olmak. İşyeri ergonomi analizi yapabilme yeteneği. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
ProductionManagement,Üretim Yönetimi ve Kapasite Planlama Stajı (2024),Kalite Yönetimi,Kapasite planlama ve süreç iyileştirme tekniklerine hakim olmak. Üretim planlama ve zamanlama yazılımlarını kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
DigitalManufacturing,Dijital Üretim ve Sanayi 4.0 Stajı (2024),IoT,"Dijital üretim teknolojilerine hakim olmak. Endüstriyel IoT, bulut bilişim ve dijital çiftlik teknolojilerinde deneyim. En az 3.00 not ortalamasına sahip olmak.",Endüstri Mühendisliği
SupplyNetwork, Tedarik Ağı Optimizasyonu Stajı (2024),Üretim Yönetimi,Üretim planlama konusunda bilgi sahibi olmak. Tedarik zinciri modelleri ve optimizasyonu konusunda deneyim. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
ManufacturingSystem,Üretim Sistemleri Tasarımı ve Simülasyonu Stajı (2024),Üretim Yönetimi,Üretim sistemleri tasarımı ve simülasyonu konusunda bilgi sahibi olmak. Simülasyon yazılımlarını kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
QualityEngineering,Kalite Mühendisliği ve Süreç Kontrolü Stajı (2024),Kalite Yönetimi,Kalite mühendisliği prensipleri ve süreç kontrolü tekniklerine hakim olmak. Kalite kontrol araçlarını kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
LeanSixSigma,İnce Üretim ve Altı Sigma Stajı (2024),Üretim,İnce üretim ve altı sigma metodolojilerine hakim olmak. İş süreçlerinin iyileştirilmesi ve hatanın azaltılması konularında deneyim. En az 2.80 not ortalamasına sahip olmak.,Endüstri Mühendisliği
IndustrialEngineering,Endüstri Mühendisliği Uygulamaları Stajı (2024),Lojistik,Tedarik zinciri temel prensipleri ve uygulamalarına hakim olmak.Proje yönetimi yazılımlarını kullanabilme becerisi. En az 3.00 not ortalamasına sahip olmak.,Endüstri Mühendisliği
Google,Arayüz Geliştirme Stajı (2024),Frontend Developer,"HTML, CSS, JavaScript bilgisi. Kullanıcı deneyimi tasarımı konusunda deneyim. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
Microsoft,Büyük Veri Analitiği Stajı (2024),Veri Bilimi,"Büyük veri teknolojilerine (Hadoop, Spark vb.) hakim olmak. SQL ve Python bilgisi. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
Amazon,Backend Yazılım Geliştirme Stajı (2024),Full Stack Developer,Node.js veya Django ile back-end geliştirme bilgisi. Veri tabanı yönetimi konusunda deneyim. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Apple,Mobil Uygulama Geliştirme Stajı (2024),Mobile App Developer,Swift programlama dili ve iOS SDK'ya hakim olmak. Mobil uygulama geliştirme deneyimi. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Facebook,Veri Analitiği ve Makine Öğrenimi Stajı (2024),Veri Bilimi,Veri analizi ve makine öğrenimi konularında bilgi sahibi olmak. Python ve TensorFlow gibi araçlara hakim olmak. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
IBM,Bulut Bilişim ve Sistem Yönetimi Stajı (2024),Cloud Mühendisliği,"AWS, Azure veya Google Cloud gibi bulut platformlarında deneyim. Linux ve sistem yönetimi bilgisi. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
Tesla,Otonom Araç Teknolojileri Stajı (2024),Artificial Intelligence,Otonom araç teknolojileri ve yapay zeka konularında bilgi sahibi olmak. Robotik programlama dillerine hakim olmak. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Netflix,Veri Tabanı Yönetimi ve Analitiği Stajı (2024),Veri Bilimi,Veri tabanı yönetimi ve SQL bilgisi. Veri tabanı analitiği konusunda deneyim. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Intel,Donanım Tasarımı ve Mimarisi Stajı (2024),Gömülü Sistemler,Bilgisayar mimarisi ve donanım tasarımı konularına hakim olmak. VHDL veya Verilog programlama dillerine hakimiyet. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Nvidia,Görüntü İşleme ve Grafik Tasarımı Stajı (2024),Görüntü İşleme,Görüntü işleme ve grafik programlama konularında deneyim. CUDA veya OpenGL gibi grafik kütüphanelerine hakim olmak. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
HP,Yazılım Test Mühendisliği Stajı (2024),Tester,Yazılım test otomasyonu ve test senaryoları oluşturma konularında bilgi sahibi olmak. Test yönetimi araçlarını kullanabilme becerisi. En az 2.50 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Cisco,Ağ ve Güvenlik Mühendisliği Stajı (2024),Network Mühendisi,Ağ yönetimi ve güvenlik protokolleri konularında deneyim. Cisco ağ ekipmanlarına hakimiyet. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Adobe,Yazılım Mimarisi ve Tasarımı Stajı (2024),Software Developer,Yazılım mimarisi prensipleri ve tasarım desenleri konusunda bilgi sahibi olmak. UML veya benzeri modelleme araçlarını kullanabilme becerisi. Java programlama diline hakim olmak. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Oracle,Veri Tabanı Yönetimi ve Geliştirme Stajı (2024),Veri Bilimi,Oracle veri tabanı yönetimi ve PL/SQL bilgisi. Veri tabanı uygulama geliştirme deneyimi. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Netflix,Veri Analizi ve İş Zekası Stajı (2024),Software Developer,İş zekası araçları ve veri görselleştirme konularında deneyim. SQL ve Python programlama dillerine hakim olmak. En az 3.00 not ortalamasına sahip olmak.,Herhangi
Qualcomm,Entegre Devre Tasarımı Stajı (2024),Gömülü Sistemler,Entegre devre tasarımı ve FPGA programlama konularında deneyim. Verilog veya VHDL bilgisi. En az 3.00 not ortalamasına sahip olmak.,Herhangi
Vmware,Yazılım Geliştirme ve Sanallaştırma Stajı (2024),Backend Developer,Sanallaştırma teknolojileri ve bulut altyapısı konusunda bilgi sahibi olmak. Java veya Python bilgisi. En az 2.80 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Alibaba,Veri Merkezi Yönetimi Stajı (2024),Backend Developer,Büyük ölçekli veri merkezi yönetimi ve operasyonları konusunda bilgi sahibi olmak. Linux sistem yönetimi deneyimi. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
SpaceX,Uzay Yazılım Mühendisliği Stajı (2024),Gömülü Sistemler,Uzay yazılımı ve gömülü sistemler konularında deneyim. C/C++ veya Python programlama dillerine hakimiyet. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Microsoft,Veri Tabanı Yönetimi Stajı (2024),Veri Bilimi,SQL bilgisi ve veri tabanı yönetimi konusunda deneyim. Veri tabanı tasarımı ve optimizasyonu becerisi. En az 3.00 not ortalamasına sahip olmak.,Herhangi
Twitter,Büyük Veri ve Veri Analitiği Stajı (2024),Machine Learning,"Büyük veri teknolojilerine ve veri analitiği yöntemlerine hakim olmak. Hadoop, Spark, SQL bilgisi. En az 3.00 not ortalamasına sahip olmak.",Bilgisayar Mühendisliği
Uber,Mobil Uygulama Geliştirme ve Arayüz Tasarımı Stajı (2024),Mobile App Developer,Mobil uygulama geliştirme ve kullanıcı arayüzü tasarımı konularında deneyim. Dart ve Flutter bilgisi. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Netflix,Veri Tabanı Yönetimi ve Analizi Stajı (2024),Veri Bilimi,SQL bilgisi ve veri tabanı yönetimi konusunda deneyim. Veri tabanı analizi ve optimizasyonu becerisi. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Snapchat,Artırılmış Gerçeklik ve Görüntü İşleme Stajı (2024),Artificial Intelligence,Artırılmış gerçeklik teknolojileri ve görüntü işleme algoritmalarına hakim olmak. Python veya C++ bilgisi. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
Facebook,Veri Güvenliği ve Siber Tehdit Analitiği Stajı (2024),Cyber Security,Veri güvenliği ve siber tehdit analitiği konularında deneyim. Sızma testi araçlarına hakimiyet. En az 3.00 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
LinkedIn,Platform Geliştirme ve Veri Analitiği Stajı (2024),Software Developer,LinkedIn platformu için geliştirme ve veri analitiği konularında bilgi sahibi olmak. Python ve SQL bilgisi. En az 2.80 not ortalamasına sahip olmak.,Bilgisayar Mühendisliği
